18,00
14,00
18,00
110,00
25,00
25,00
38,00
72,00
20,00
16,00
32,00
26,00
75,00
62,00
42,00
44,00
15,00
50,00
45,00
80,00
82,00
30,00
30,00
30,00
60,00
27,00
28,00
54,00
40,00
40,00
60,00
20,00
35,00
45,00
125,00
40,00
90,00
40,00
55,00
55,00
47,00
48,00
60,00
8,00
9,00
14,00
22,00
35,00
40,00
35,00
40,00
40,00
40,00
55,00
28,00
40,00
36,00
500,00
22,00
9,00
65,00
100,00
100,00
70,00
35,00
50,00
40,00
50,00
20,00
90,00
24,00
20,00
75,00
10,00
20,00
20,00
20,00
10,00
40,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
10,00
45,00
10,00
10,00
10,00
170,00
30,00
40,00
40,00
40,00
110,00
130,00
125,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
280,00
40,00
30,00
44,00
46,00
10,00
10,00
10,00
10,00
82,00
40,00
50,00
40,00
170,00
45,00
15,00
12,00
40,00
10,00
10,00
50,00
75,00
10,00
10,00
10,00
160,00
120,00
56,00
22,00
32,00
22,00
35,00
50,00
32,00
10,00
48,00
110,00
46,00
35,00
75,00
20,00
10,00
10,00
10,00
10,00
10,00
65,00
10,00
60,00
15,00
17,00
25,00
25,00
25,00
25,00
20,00
200,00
10,00
10,00
17,00
15,00
15,00
15,00
90,00
30,00
28,00
20,00
28,00
60,00
10,00
10,00
10,00
10,00
10,00
10,00
10,00
10,00
10,00
48,00
10,00
10,00
10,00
10,00
70,00
28,00
32,00
25,00
42,00
30,00
15,00
36,00
75,00
75,00
12,00
10,00
10,00
10,00
10,00
10,00
54,00
47,00
58,00
35,00
40,00
75,00
30,00
13,00
14,00
28,00
24,00
52,00
19,00
35,00
50,00
28,00
30,00
40,00
44,00
34,00
25,00
28,00
11,00
20,00
75,00
90,00
7,00
40,00
18,00
54,00
75,00
50,00
6,50
54,00
95,00
8,00
40,00
30,00
24,00
20,00
50,00
24,00
12,00
15,00
50,00
14,00
10,00
25,00
85,00
20,00
15,00
30,00
32,00
25,00
40,00
15,00
23,00
12,00
19,00
13,00
45,00
70,00
10,00
55,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
72,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
55,00
60,00
60,00
20,00
110,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
32,00
30,00
40,00
10,00
30,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
20,00
40,00
40,00
40,00
20,00
40,00
20,00
40,00
40,00
40,00
40,00
40,00
20,00
40,00
40,00
40,00
40,00
40,00
40,00
40,00
40,00
